"","Band","Stamp_receipts","Av_price","prop","prop_val","stamp_rate","stamp","tenure"
"1","A",1341187.72,142560.5975,129330,18437362074.675,0.00727429289812676,0.246359762907139,33.8671766943258
"2","B",7094040.94,193971.497725796,471270,91412947733.2359,0.00776043341333008,0.711150849835641,91.6380325632456
"3","C",35331280.12,243512.40818703,943640,229788048861.609,0.0153755951604248,0.973358270072269,63.3054044358293
"4","D",99807879.73,297145.977260709,889910,264433176624.077,0.037744083781094,1.63465072211755,43.3087932826269
"5","E",238830644.98,366627.121121718,523940,192090613840.513,0.124332282668581,2.2724331005834,18.2770962762806
"6","F",283883785.5,490623.206576858,262450,128764060566.096,0.220468183631316,2.96177598899748,13.4340290749181
"7","G",662937768.23,801723.296840483,206680,165700170990.991,0.400082730310546,3.75268686348406,9.37977717901298
"8","H",1134169593.32,2540702.59766764,60780,154423903886.239,0.734452092439989,8.60526973604949,11.7165841375183
