"","Band","Stamp_receipts_GBP","Stamp_receipts_USD","Av_price_GBP","Av_price_USD","prop","prop_val_GBP","prop_val_USD","stamp_rate_GBP","stamp_rate_USD","stamp","tenure"
"1","A",1341187.72,2208079.88146197,142560.5975,234706.284985183,129330,18437362074.675,30354563837.1337,0.00727429289812676,0.00727429289812676,0.246359762907139,33.8671766943258
"2","B",7094040.94,11679356.1738558,193971.497725796,319347.213904834,471270,91412947733.2359,150498761496.931,0.00776043341333008,0.00776043341333008,0.711150849835641,91.6380325632456
"3","C",35331280.12,58168060.7836681,243512.40818703,400909.463594056,943640,229788048861.609,378314206225.895,0.0153755951604248,0.0153755951604248,0.973358270072269,63.3054044358293
"4","D",99807879.73,164319854.675667,297145.977260709,489209.709023228,889910,264433176624.077,435352612156.861,0.037744083781094,0.037744083781094,1.63465072211755,43.3087932826269
"5","E",238830644.98,393201588.70596,366627.121121718,603600.792100294,523940,192090613840.513,316250599013.028,0.124332282668581,0.124332282668581,2.2724331005834,18.2770962762806
"6","F",283883785.5,467375346.559104,490623.206576858,807743.178427491,262450,128764060566.096,211992197178.295,0.220468183631316,0.220468183631316,2.96177598899748,13.4340290749181
"7","G",662937768.23,1091435245.68653,801723.296840483,1319926.40243741,206680,165700170990.991,272802388855.764,0.400082730310546,0.400082730310546,3.75268686348406,9.37977717901298
"8","H",1134169593.32,1867253199.40731,2540702.59766764,4182915.04390457,60780,154423903886.239,254237576368.52,0.734452092439989,0.734452092439989,8.60526973604949,11.7165841375183
