"","Band","Total_cTax","Av_cTax","Tot_prop_val","Av_prop_val"
"A.y","A",3424917.68192295,1427.04903413456,700936.779716826,292.056305564702
"B.y","B",7703826.14422127,1668.57832883285,1635070.79354626,354.140599275601
"C.y","C",21429364.5044452,1919.50595704453,5013170.89232795,449.048403029305
"D.y","D",40869186.6973987,2161.24731345313,10400248.6005927,549.986829107672
"E.y","E",76074275.600922,2670.02230804864,20064369.4435298,704.211392821864
"F.y","F",61733725.7161673,3162.10242873366,18300576.2265393,937.385577872901
"G.y","G",69507599.6048732,3570.90159798989,38475123.4771156,1976.63154428713
"H.y","H",20226834.0467567,3931.35744349012,1.6463615409944,0
